Initialising login role...
Connecting to remote database...
Skipping migration 20260707b_operator_preview_log.sql... (file name must match pattern "<timestamp>_name.sql")
Skipping migration OPERATOR_APPLY_supabase_admin_default_acl.sql... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
   20260616195645 | 20260616195645 | 2026-06-16 19:56:45 
   20260617000001 | 20260617000001 | 2026-06-17 00:00:01 
                  | 20260617000002 | 2026-06-17 00:00:02 
                  | 20260617000003 | 2026-06-17 00:00:03 
   20260617183933 | 20260617183933 | 2026-06-17 18:39:33 
   20260618002440 | 20260618002440 | 2026-06-18 00:24:40 
                  | 20260623000001 | 2026-06-23 00:00:01 
                  | 20260623000002 | 2026-06-23 00:00:02 
                  | 20260623000003 | 2026-06-23 00:00:03 
   20260623000004 | 20260623000004 | 2026-06-23 00:00:04 
   20260623000005 | 20260623000005 | 2026-06-23 00:00:05 
   20260623000006 | 20260623000006 | 2026-06-23 00:00:06 
                  | 20260623000007 | 2026-06-23 00:00:07 
                  | 20260623000008 | 2026-06-23 00:00:08 
                  | 20260623000009 | 2026-06-23 00:00:09 
   20260623213534 | 20260623213534 | 2026-06-23 21:35:34 
   20260623214957 | 20260623214957 | 2026-06-23 21:49:57 
   20260623225040 | 20260623225040 | 2026-06-23 22:50:40 
   20260623235317 | 20260623235317 | 2026-06-23 23:53:17 
                  | 20260624000001 | 2026-06-24 00:00:01 
                  | 20260624000002 | 2026-06-24 00:00:02 
   20260624000003 | 20260624000003 | 2026-06-24 00:00:03 
   20260624000004 | 20260624000004 | 2026-06-24 00:00:04 
                  | 20260624000005 | 2026-06-24 00:00:05 
                  | 20260624000006 | 2026-06-24 00:00:06 
                  | 20260624000007 | 2026-06-24 00:00:07 
                  | 20260624000008 | 2026-06-24 00:00:08 
                  | 20260624000009 | 2026-06-24 00:00:09 
   20260624005320 | 20260624005320 | 2026-06-24 00:53:20 
   20260624015747 | 20260624015747 | 2026-06-24 01:57:47 
   20260624131132 | 20260624131132 | 2026-06-24 13:11:32 
   20260624132001 | 20260624132001 | 2026-06-24 13:20:01 
   20260624145310 | 20260624145310 | 2026-06-24 14:53:10 
   20260624145957 | 20260624145957 | 2026-06-24 14:59:57 
   20260624173013 | 20260624173013 | 2026-06-24 17:30:13 
   20260624173258 | 20260624173258 | 2026-06-24 17:32:58 
   20260624181016 | 20260624181016 | 2026-06-24 18:10:16 
                  | 20260625000001 | 2026-06-25 00:00:01 
                  | 20260625000002 | 2026-06-25 00:00:02 
                  | 20260625000003 | 2026-06-25 00:00:03 
   20260625000004 | 20260625000004 | 2026-06-25 00:00:04 
                  | 20260625000005 | 2026-06-25 00:00:05 
                  | 20260625000006 | 2026-06-25 00:00:06 
   20260625000007 | 20260625000007 | 2026-06-25 00:00:07 
                  | 20260625000008 | 2026-06-25 00:00:08 
   20260625011646 | 20260625011646 | 2026-06-25 01:16:46 
   20260625184449 | 20260625184449 | 2026-06-25 18:44:49 
   20260625215747 | 20260625215747 | 2026-06-25 21:57:47 
   20260625222355 | 20260625222355 | 2026-06-25 22:23:55 
   20260625224856 | 20260625224856 | 2026-06-25 22:48:56 
                  | 20260626000000 | 2026-06-26 00:00:00 
   20260626000001 | 20260626000001 | 2026-06-26 00:00:01 
                  | 20260626000002 | 2026-06-26 00:00:02 
                  | 20260626000003 | 2026-06-26 00:00:03 
                  | 20260626000004 | 2026-06-26 00:00:04 
   20260626031528 | 20260626031528 | 2026-06-26 03:15:28 
                  | 20260626100000 | 2026-06-26 10:00:00 
                  | 20260626100100 | 2026-06-26 10:01:00 
                  | 20260626100200 | 2026-06-26 10:02:00 
   20260626173506 | 20260626173506 | 2026-06-26 17:35:06 
   20260626174343 | 20260626174343 | 2026-06-26 17:43:43 
   20260626203055 | 20260626203055 | 2026-06-26 20:30:55 
                  | 20260628       | 20260628            
   20260626203055 |                | 2026-06-26 20:30:55 
   20260628       |                | 20260628            
   20260701       |                | 20260701            
                  | 20260628234330 | 2026-06-28 23:43:30 
                  | 20260628235155 | 2026-06-28 23:51:55 
                  | 20260629014003 | 2026-06-29 01:40:03 
                  | 20260701       | 20260701            
                  | 20260702000001 | 2026-07-02 00:00:01 
                  | 20260702000002 | 2026-07-02 00:00:02 
   20260702145505 | 20260702145505 | 2026-07-02 14:55:05 
   20260702152906 | 20260702152906 | 2026-07-02 15:29:06 
   20260702154220 | 20260702154220 | 2026-07-02 15:42:20 
   20260702155341 | 20260702155341 | 2026-07-02 15:53:41 
   20260702190957 | 20260702190957 | 2026-07-02 19:09:57 
                  | 20260703       | 20260703            
   20260703185959 | 20260703185959 | 2026-07-03 18:59:59 
   20260703       |                | 20260703            
                  | 20260703191317 | 2026-07-03 19:13:17 
                  | 20260703204338 | 2026-07-03 20:43:38 
                  | 20260705000001 | 2026-07-05 00:00:01 
                  | 20260705000002 | 2026-07-05 00:00:02 
                  | 20260705000003 | 2026-07-05 00:00:03 
                  | 20260705000004 | 2026-07-05 00:00:04 
                  | 20260705000005 | 2026-07-05 00:00:05 
                  | 20260705000006 | 2026-07-05 00:00:06 
   20260705171351 | 20260705171351 | 2026-07-05 17:13:51 
   20260705175533 | 20260705175533 | 2026-07-05 17:55:33 
   20260705180445 | 20260705180445 | 2026-07-05 18:04:45 
   20260705181015 | 20260705181015 | 2026-07-05 18:10:15 
   20260705182716 | 20260705182716 | 2026-07-05 18:27:16 
   20260705233907 | 20260705233907 | 2026-07-05 23:39:07 
                  | 20260706000001 | 2026-07-06 00:00:01 
                  | 20260706000002 | 2026-07-06 00:00:02 
                  | 20260706000003 | 2026-07-06 00:00:03 
                  | 20260706000004 | 2026-07-06 00:00:04 
                  | 20260706000005 | 2026-07-06 00:00:05 
   20260706040354 | 20260706040354 | 2026-07-06 04:03:54 
   20260706040407 | 20260706040407 | 2026-07-06 04:04:07 
   20260706041720 | 20260706041720 | 2026-07-06 04:17:20 
   20260706042154 | 20260706042154 | 2026-07-06 04:21:54 
   20260706045625 | 20260706045625 | 2026-07-06 04:56:25 
   20260706142705 | 20260706142705 | 2026-07-06 14:27:05 
   20260706162509 | 20260706162509 | 2026-07-06 16:25:09 
   20260709       |                | 20260709            
                  | 20260706200052 | 2026-07-06 20:00:52 
                  | 20260707000001 | 2026-07-07 00:00:01 
                  | 20260707000002 | 2026-07-07 00:00:02 
                  | 20260709       | 20260709            
                  | 20260709201137 | 2026-07-09 20:11:37 
                  | 20260712183638 | 2026-07-12 18:36:38 
                  | 20260713185849 | 2026-07-13 18:58:49 
                  | 20260713234759 | 2026-07-13 23:47:59 
                  | 20260713235455 | 2026-07-13 23:54:55 
                  | 20260714001604 | 2026-07-14 00:16:04 
                  | 20260714011950 | 2026-07-14 01:19:50 
   20260714141535 | 20260714141535 | 2026-07-14 14:15:35 
   20260714141612 | 20260714141612 | 2026-07-14 14:16:12 
   20260714141709 | 20260714141709 | 2026-07-14 14:17:09 
   20260714180754 | 20260714180754 | 2026-07-14 18:07:54 
   20260715191156 | 20260715191156 | 2026-07-15 19:11:56 
   20260715191218 | 20260715191218 | 2026-07-15 19:12:18 
   20260715191243 | 20260715191243 | 2026-07-15 19:12:43 
   20260715193131 | 20260715193131 | 2026-07-15 19:31:31 
   20260715193139 | 20260715193139 | 2026-07-15 19:31:39 
   20260715193146 | 20260715193146 | 2026-07-15 19:31:46 
   20260715193201 | 20260715193201 | 2026-07-15 19:32:01 
   20260715193211 | 20260715193211 | 2026-07-15 19:32:11 
   20260715193219 | 20260715193219 | 2026-07-15 19:32:19 
   20260715193236 | 20260715193236 | 2026-07-15 19:32:36 
   20260715193255 | 20260715193255 | 2026-07-15 19:32:55 
   20260715193313 | 20260715193313 | 2026-07-15 19:33:13 
   20260715193329 | 20260715193329 | 2026-07-15 19:33:29 
   20260715193342 | 20260715193342 | 2026-07-15 19:33:42 
   20260715210116 | 20260715210116 | 2026-07-15 21:01:16 
   20260715225139 | 20260715225139 | 2026-07-15 22:51:39 
   20260715231733 | 20260715231733 | 2026-07-15 23:17:33 
   20260715232702 | 20260715232702 | 2026-07-15 23:27:02 
   20260716000000 | 20260716000000 | 2026-07-16 00:00:00 
                  | 20260716022452 | 2026-07-16 02:24:52 
   20260716144315 | 20260716144315 | 2026-07-16 14:43:15 
   20260716144510 | 20260716144510 | 2026-07-16 14:45:10 
   20260716144723 | 20260716144723 | 2026-07-16 14:47:23 
   20260716150130 | 20260716150130 | 2026-07-16 15:01:30 
   20260716155746 | 20260716155746 | 2026-07-16 15:57:46 
   20260716205822 | 20260716205822 | 2026-07-16 20:58:22 
   20260716205829 | 20260716205829 | 2026-07-16 20:58:29 
   20260716210037 | 20260716210037 | 2026-07-16 21:00:37 
   20260717001444 | 20260717001444 | 2026-07-17 00:14:44 
   20260717001510 | 20260717001510 | 2026-07-17 00:15:10 
   20260717015014 | 20260717015014 | 2026-07-17 01:50:14 
   20260717030000 |                | 2026-07-17 03:00:00 
                  | 20260717224806 | 2026-07-17 22:48:06 
   20260717230956 | 20260717230956 | 2026-07-17 23:09:56 
                  | 20260717231158 | 2026-07-17 23:11:58 

A new version of Supabase CLI is available: v2.109.1 (currently installed v)
We recommend updating regularly for new features and bug fixes: https://supabase.com/docs/guides/cli/getting-started#updating-the-supabase-cli
EXIT_CODE:0
