local_filename,local_version,local_name,sha256_16char,classification,exact_ledger_match,other_ledger_versions
"20260715232702_20260715234500_publication_artifacts_dedupe_partial_index.sql","20260715232702","20260715234500_publication_artifacts_dedupe_partial_index","4bffe7c7b3470345","A_EXACT_MATCH","20260715232702",""
"20260716000000_firm_assist_corpus.sql","20260716000000","firm_assist_corpus","90fc02a28e8b3f00","B_DUPLICATE_LEDGER_ROWS","20260716000000","20260716022452"
"20260716144315_publication_receipt_verification_after_revision_fix.sql","20260716144315","publication_receipt_verification_after_revision_fix","bfa50215f95287c0","A_EXACT_MATCH","20260716144315",""
"20260716144510_publication_receipt_concurrency_lock.sql","20260716144510","publication_receipt_concurrency_lock","1df70155cd4bc236","A_EXACT_MATCH","20260716144510",""
"20260716144723_publication_receipt_reconcile_concurrency_lock_merge.sql","20260716144723","publication_receipt_reconcile_concurrency_lock_merge","57dd99c7fcce566b","A_EXACT_MATCH","20260716144723",""
"20260716150130_publication_placement_claims.sql","20260716150130","publication_placement_claims","17ffba6081b26d46","A_EXACT_MATCH","20260716150130",""
"20260716155746_publication_placement_claim_race_fix.sql","20260716155746","publication_placement_claim_race_fix","4a10d728a306e12d","A_EXACT_MATCH","20260716155746",""
"20260716205822_publication_receipt_claim_binding.sql","20260716205822","publication_receipt_claim_binding","2ab8f4afe764a8c1","A_EXACT_MATCH","20260716205822",""
"20260716205829_publication_placement_claim_mutation_lockdown.sql","20260716205829","publication_placement_claim_mutation_lockdown","6c1b0a02b63891e5","A_EXACT_MATCH","20260716205829",""
"20260716210037_publication_receipt_claim_release_revoke_public_execute.sql","20260716210037","publication_receipt_claim_release_revoke_public_execute","914c06946d193a5a","A_EXACT_MATCH","20260716210037",""
"20260717001444_publication_receipt_actor_binding_and_hash_trust_fix.sql","20260717001444","publication_receipt_actor_binding_and_hash_trust_fix","fd0734bbac3f42dd","A_EXACT_MATCH","20260717001444",""
"20260717001510_publication_placement_claim_idempotency_identity_scoping.sql","20260717001510","publication_placement_claim_idempotency_identity_scoping","8a3041bb15851e62","A_EXACT_MATCH","20260717001510",""
"20260717015014_publication_placement_claim_idempotency_firm_scoping.sql","20260717015014","publication_placement_claim_idempotency_firm_scoping","b1bcd84ad24543ad","A_EXACT_MATCH","20260717015014",""
"20260717030000_content_attribution_evidence.sql","20260717030000","content_attribution_evidence","ba91507600c61e53","B_LOCAL_VERSION_NOT_IN_LEDGER_SLUG_MATCHES_ELSEWHERE","","20260717224806"
"20260717230956_standing_publishing_authorization.sql","20260717230956","standing_publishing_authorization","f71e53cf028584ab","A_EXACT_MATCH","20260717230956",""
"OPERATOR_APPLY_supabase_admin_default_acl.sql","","OPERATOR_APPLY_supabase_admin_default_acl","82d7ba26d9d2c017","MANUAL_RUNBOOK_NOT_A_MIGRATION","",""

--- ORPHAN LEDGER ROWS (production ledger entries with zero local file claiming them by exact version or slug match; NOTE: "zero local file matching this row" is a narrower claim than "zero source exists" -- see source_status and docs/audits/MIGRATION_LINEAGE_ZERO_SOURCE_INVESTIGATION_2026-07-18.md for the corrected three-way split) ---
ledger_version,ledger_name,source_status,source_location
"20260518193933","enable_required_extensions","SOURCE_ON_MAIN_LINEAGE_MISMATCHED","supabase/migrations/20260506000003_pg_cron_pg_net_setup.sql (main, content-equivalent, not filed under this version)"
"20260626100000","content_studio_format_taxonomy","GENUINELY_UNTRACEABLE",""
"20260626100100","content_studio_doctrine_p0","GENUINELY_UNTRACEABLE",""
"20260626100200","content_studio_compliance_formats","GENUINELY_UNTRACEABLE",""
"20260712183638","add_firm_profile_fee_detail_fields","GENUINELY_UNTRACEABLE",""
"20260713185849","pdf_artifact_integrity","SOURCE_ON_UNMERGED_BRANCH","origin/feat/deliverable-suggestions-release:supabase/migrations/20260713185808_pdf_artifact_integrity.sql (byte-for-byte schema match confirmed live)"
"20260717231158","standing_publishing_authorization_notification_pref_null_fix","GENUINELY_UNTRACEABLE",""
